Titre,Tonalité,Accords,Degrés,Rythmique,Rythme,Enchainement des accords,Swing,Niveau difficulté,Lien partition,Lien exercice,Téléchargement partitions clé de sol et fa,Téléchargement accords paroles,Module
Aline,DO majeur,"C, E, F, G","I, III, IV, V",12/8,Ternaire,Normal,NON,1,https://www.soundslice.com/slices/Zj-Hc/,https://www.soundslice.com/slices/R-cTc/,https://drive.google.com/file/d/1lV8xDv5zBHCwV5NSuZCQmlSY6Ful6g5y/view?usp=drive_link,https://drive.google.com/file/d/1-ZU3JNRrkQTWG0Mk3tfKGTRIm9TrzSME/view?usp=drive_link,1
Armstrong,SOL mineur,"Gm, D, Cm, Bb, Eb","i, V, iv, III, VI",4/4,Binaire,Rapide,OUI,3,https://www.soundslice.com/slices/Bw2Tc/,https://www.soundslice.com/slices/2-cTc/,https://drive.google.com/file/d/14h2V3ooiRmgK6Zb7a9q8tEp3NYvnVqHx/view?usp=drive_link,,3
A toi,LA mineur,"Am, Dm, G, C, E","i, iv, VII, III, V",4/4,Binaire,Normal,NON,2,https://www.soundslice.com/slices/dL-Hc/,https://www.soundslice.com/slices/y-cTc/,https://drive.google.com/file/d/1jDP2mIA9HD7gzQg41IdZvE8WPhuHal91/view?usp=drive_link,https://drive.google.com/file/d/1tSWdLW8r_aZk4U2988J4xbgVsv3UKb6q/view?usp=drive_link,1
Back to Black,RÉ mineur,"Dm, Gm, Bb, A, F","i, iv, VI, V, III",4/4,Binaire,Lent,OUI,1,https://www.soundslice.com/slices/QB-Hc/,https://www.soundslice.com/slices/V-cTc/,https://drive.google.com/file/d/1mmeglvK4R39ANLCPN_rxTQ6lqvHHsfKy/view?usp=drive_link,,3
Blowin' in the wind,RÉ majeur,"D, G, A","I, IV, V",4/4,Binaire,Rapide,NON,1,https://www.soundslice.com/slices/nCQHc/,https://www.soundslice.com/slices/QxcTc/,https://drive.google.com/file/d/1s-S0Lvos6MNmYcXaDqhHN65WfO2nqU84/view?usp=drive_link,https://drive.google.com/file/d/1eWP05dJzPAK9pMbEAlEThTXYRiiNgiH_/view?usp=sharing,2
Can't Help Falling in Love,RÉ majeur,"D, F#m, Bm, G, A, C#, B, Em","I, iii, vi, IV, V",6/8,Ternaire,Normal,NON,2,https://www.soundslice.com/slices/gRQHc/,https://www.soundslice.com/slices/PxcTc/,https://drive.google.com/file/d/1NybFVNiLMdH5v2tz4v5djH0QwM67pgXz/view?usp=drive_link,,3
Chanson pour l'auvergnat,SI mineur,"Bm, F#, A, D, G, E","i, V, VII, III, VI, IV",3/4,Ternaire,Normal,NON,3,https://www.soundslice.com/slices/vqrHc/,https://www.soundslice.com/slices/ZxcTc/,https://drive.google.com/file/d/1IPCIzDqr2_GqBs1BcWxqWgZW39FuNVPE/view?usp=drive_link,,4
Chanson sur ma drole de vie,LA majeur,"A, E, D, Dm, F#, Bm, Am, C#, F#m","I, V, IV, iv, ii, i, III, vi, VI",4/4,Binaire,Rapide,NON,3,https://www.soundslice.com/slices/WrgHc/,https://www.soundslice.com/slices/7xcTc/,https://drive.google.com/file/d/1GaY03K0758n-KGbkM4VpqKadvc6wkunk/view?usp=drive_link,,4
Emmenez-moi,LA mineur,"Am, G, E, F, C","i, VII, V, VI, III",6/8,Ternaire,Rapide,NON,2,https://www.soundslice.com/slices/-GgHc/,https://www.soundslice.com/slices/dxcTc/,https://drive.google.com/file/d/1_CptXt20sYnG-9crSabM-HLo5nfBMh8T/view?usp=drive_link,https://drive.google.com/file/d/1TfdZC7NUNzVpWuXzvTqq8Xqfm_L6OZVc/view?usp=drive_link,1
Et si tu n'existais pas,LA mineur,"Am, Dm, E, G, C","i, iv, V, VII, III",4/4,Binaire,Normal,NON,1,https://www.soundslice.com/slices/7HTTc/,https://www.soundslice.com/slices/G1TTc/,https://drive.google.com/file/d/1DBOq-Npe61Q5wJy1C_8QLJD0ZW72smtf/view?usp=drive_link,https://drive.google.com/file/d/1Qm9SuazsdbTjkiuLIz0hEjWyejueblF9/view?usp=drive_link,1
